Tb (°C)	L (mm)	theta (°)	Salinity (g/kg)	Ub (mm/s)
20.6	200	22	34.99	3.51
20.6	200	23.66	34.99	2.93
20.6	200	22	34.99	2.6547
20.6	200	21.7	34.99	2.55
20.6	200	22.94	34.99	2.3237
20.2	205	21	34.99	3.233
20.2	205	21	34.99	2.09
20.2	205	22	34.99	1.29
20.2	200	22	34.99	2
20	190	21	34.99	2.29
20	190	21.5	34.99	1.73
19.9	194	19	34.99	1.76
19.8	194	19.5	34.99	0.94
19.6	194	19.75	34.99	1.38
